2013-01-02,-11330.287546716512
2013-01-03,-12507.627136563062
2013-01-04,-12152.451793287028
2013-01-07,-11957.69788652004
2013-01-08,-11367.184635049041
2013-01-09,-11339.41533277605
2013-01-10,-11493.66750381085
2013-01-11,-11099.143103626291
2013-01-14,-12365.27761195159
2013-01-15,-11791.985398378245
2013-01-16,-11612.646968238634
2013-01-17,-12515.610503273896
2013-01-18,-12233.559044730799
2013-01-22,-12070.265087268164
2013-01-23,-11614.130832432445
2013-01-24,-11283.5797639359
2013-01-25,-13594.12353620333
2013-01-28,-13905.977535022983
2013-01-29,-14126.415417988595
2013-01-30,-13977.169328092397
2013-01-31,-13103.037741792285
2013-02-01,-13495.306467552735
2013-02-04,-12654.998201308865
2013-02-05,-12948.389956204763
2013-02-06,-12333.083740685332
2013-02-07,-12416.892489111251
2013-02-08,-12225.670639783099
2013-02-11,-12133.886750613852
2013-02-12,-11907.346844644715
2013-02-13,-12580.64410740577
2013-02-14,-12827.317930666435
2013-02-15,-12835.853053875087
2013-02-19,-12792.933558568731
2013-02-20,-12499.491330491135
2013-02-21,-11994.475816795293
2013-02-22,-11659.935859723779
2013-02-25,-11685.566412145057
2013-02-26,-11325.723709941081
2013-02-27,-11259.203878993188
2013-02-28,-10707.705029334564
2013-03-01,-10733.096444723513
2013-03-04,-10671.883473490901
2013-03-05,-11092.196436338758
2013-03-06,-11516.215300895065
2013-03-07,-12522.722263810607
2013-03-08,-12735.624622523208
2013-03-11,-13151.963666015481
2013-03-12,-12683.374395612444
2013-03-13,-12538.996368541679
2013-03-14,-12289.292757047811
2013-03-15,-11952.752367408555
2013-03-18,-11467.679410196364
2013-03-19,-11458.422428157117
2013-03-20,-11771.636626139794
2013-03-21,-11252.427533709506
2013-03-22,-11057.549853753513
2013-03-25,-10175.679342873626
2013-03-26,-10350.56113296773
2013-03-27,-10297.179228401481
2013-03-28,-10140.123075121604
2013-04-01,-10229.023579858327
2013-04-02,-10329.987708719076
2013-04-03,-10338.264150207557
2013-04-04,-9997.423753812218
