2013-01-02,8473640.29498961
2013-01-03,8461637.78167732
2013-01-04,8459473.098078955
2013-01-07,8461468.21185727
2013-01-08,8469410.352804542
2013-01-09,8473427.560089462
2013-01-10,8467271.450255945
2013-01-11,8471817.155903032
2013-01-14,8473426.683790537
2013-01-15,8480025.594016163
2013-01-16,8481036.14179063
2013-01-17,8469575.908184232
2013-01-18,8473719.91144112
2013-01-22,8476835.618542813
2013-01-23,8477133.031952495
2013-01-24,8473668.102873512
2013-01-25,8450586.27375446
2013-01-28,8446070.021262975
2013-01-29,8444377.215503242
2013-01-30,8448221.030057168
2013-01-31,8450435.414776156
2013-02-01,8542818.333750622
2013-02-04,8551947.726614686
2013-02-05,8544168.350604597
2013-02-06,8553213.82993303
2013-02-07,8555386.995141985
2013-02-08,8554431.046758613
2013-02-11,8551618.252665227
2013-02-12,8545941.393648425
2013-02-13,8536984.71503595
2013-02-14,8549864.481378892
2013-02-15,8546297.687920623
2013-02-19,8521927.41077952
2013-02-20,8526199.725967634
2013-02-21,8531509.474775467
2013-02-22,8534518.13028714
2013-02-25,8551295.009805433
2013-02-26,8551094.728479115
2013-02-27,8548455.199749095
2013-02-28,8551577.715191102
2013-03-01,8610841.16637876
2013-03-04,8608387.833322452
2013-03-05,8605059.868747866
2013-03-06,8595663.400805017
2013-03-07,8586290.575116236
2013-03-08,8574019.498315021
2013-03-11,8574100.567068659
2013-03-12,8580919.500614796
2013-03-13,8578547.362586033
2013-03-14,8580365.989250619
2013-03-15,8591546.952068906
2013-03-18,8599577.581838075
2013-03-19,8605298.34351776
2013-03-20,8598412.558063539
2013-03-21,8600990.263289506
2013-03-22,8603737.80999472
2013-03-25,8606521.14335756
2013-03-26,8609420.820574732
2013-03-27,8618623.530541793
2013-03-28,8616965.830284825
2013-04-01,8580732.868529307
2013-04-02,8576118.322652327
2013-04-03,8588610.369467648
2013-04-04,8598890.015850045
2013-04-05,8603138.208420575
2013-04-08,8596944.093664147
2013-04-09,8597135.304183396
2013-04-10,8587410.5813034
2013-04-11,8590591.721844794
2013-04-12,8602573.639071463
2013-04-15,8605770.425561452
2013-04-16,8598670.836094871
2013-04-17,8599593.786190702
2013-04-18,8600471.072293565
2013-04-19,8598645.083356088
2013-04-22,8602166.239534002
2013-04-23,8600436.777607128
2013-04-24,8602701.784696022
2013-04-25,8601475.932005985
2013-04-26,8611606.890525907
2013-04-29,8613558.340600703
2013-04-30,8613908.59352745
2013-05-01,8683290.860781783
2013-05-02,8683376.84164851
2013-05-03,8661855.821657248
2013-05-06,8659541.414929757
2013-05-07,8656681.567127874
2013-05-08,8658639.377657222
2013-05-09,8658848.883524947
2013-05-10,8638943.048219474
2013-05-13,8636388.772191953
2013-05-14,8629307.992132321
2013-05-15,8631982.59245714
2013-05-16,8627840.196007954
2013-05-17,8611004.560626067
2013-05-20,8609318.762801519
2013-05-21,8613431.524386464
2013-05-22,8595815.136966523
2013-05-23,8596242.538212482
2013-05-24,8598859.607752798
2013-05-28,8568763.736691996
2013-05-29,8571006.189620754
2013-05-30,8573141.02792357
2013-05-31,8564391.021473473
2013-06-03,8524907.566475779
2013-06-04,8521092.539531637
2013-06-05,8528259.116873438
2013-06-06,8534373.870500596
2013-06-07,8514679.978105197
2013-06-10,8508103.795334257
2013-06-11,8509088.680488862
2013-06-12,8502689.126041042
2013-06-13,8513529.09945206
2013-06-14,8530201.424890274
2013-06-17,8524971.517110223
2013-06-18,8523254.034033662
2013-06-19,8486533.67535481
2013-06-20,8466390.463933589
2013-06-21,8439550.952481007
2013-06-24,8425134.266119936
2013-06-25,8422417.954143004
2013-06-26,8435756.302079884
2013-06-27,8450982.912477134
2013-06-28,8443775.687196048
2013-07-01,8464247.75234708
2013-07-02,8466983.30303356
2013-07-03,8457111.365302866
2013-07-05,8412939.827053607
2013-07-08,8433673.72005439
2013-07-09,8437990.74013602
2013-07-10,8429789.397140555
2013-07-11,8461648.6913596
2013-07-12,8457342.322093546
2013-07-15,8465211.96504472
2013-07-16,8470530.1854842
2013-07-17,8480515.63982814
2013-07-18,8474932.962506391
2013-07-19,8485965.047551591
2013-07-22,8486929.387456765
2013-07-23,8483622.58255268
2013-07-24,8467795.205362773
2013-07-25,8471585.322854457
2013-07-26,8477724.745330721
2013-07-29,8474667.710432587
2013-07-30,8470213.175371382
2013-07-31,8475066.550460335
2013-08-01,8501308.274660986
2013-08-02,8530265.558486214
2013-08-05,8523367.726143735
2013-08-06,8523624.866637103
2013-08-07,8529940.332413673
2013-08-08,8536520.87765068
2013-08-09,8537707.865652097
2013-08-12,8532221.39108086
2013-08-13,8507588.07192507
2013-08-14,8510498.65227194
2013-08-15,8496998.37420373
2013-08-16,8463834.146979937
2013-08-19,8457191.924474219
2013-08-20,8470393.848111415
2013-08-21,8454222.992651748
2013-08-22,8439954.055390345
2013-08-23,8453874.293060008
2013-08-26,8463409.181619322
2013-08-27,8478285.749878801
2013-08-28,8465246.459491827
2013-08-29,8469430.159167929
2013-08-30,8463915.69929619
2013-09-03,8426878.440615011
2013-09-04,8414683.557149608
2013-09-05,8390942.863341272
2013-09-06,8411137.880320445
2013-09-09,8424569.247691307
2013-09-10,8409235.487940954
2013-09-11,8423067.490098724
2013-09-12,8425243.75549385
2013-09-13,8428239.641283035
2013-09-16,8443231.205196846
2013-09-17,8449597.066591678
2013-09-18,8493014.105076112
2013-09-19,8480905.957851252
2013-09-20,8479844.394584568
2013-09-23,8486263.75445622
2013-09-24,8495744.200095423
2013-09-25,8503135.623318309
2013-09-26,8497663.28473578
