id_instr,position
US31331V2U92,1619.418125
US31331J2S18,1066.160666
US3133EADW54,501.854413
US3133EAJU35,558.5076918
US3133EANJ34,602.3666451
US3133EARQ31,1045.565918
US3133EC6U32,373.989944
US3133ECAV64,292.3643636
US3133ECDR26,305.3243468
US3133ECE910,278.400162
US3133ECFJ81,620.0690202
US3133ECFV10,591.1839338
US3133ECHV91,590.9268523
US3133ECQF41,292.2637755
US3133ECR714,285.5429981
US3133ECX746,271.226052
US3133XASA68,1061.095502
US3133XBDM45,352.9201116
US3133XBTS41,456.6590751
US3133XCUS05,587.6062045
US3133XDTC54,330.0550428
US3133XDTL53,2381.762962
US3133XFAY24,399.5423694
US3133XFJF44,4207.687603
US3133XGJA30,345.2938001
US3133XHK684,1039.800658
US3133XN5L98,431.1976502
US3133XUKV42,645.1411308
US3133XVNU15,2364.553373
US3133XWNB17,2473.799087
US3133XWTZ21,380.9174217
US3133XWX959,3492.880845
US3133XXP433,1217.413566
US3133XYRC10,272.8824839
US313370JB56,1843.009756
US313370LC02,544.3708024
US313370NE40,1063.904739
US313370TW83,1215.422009
US3133716Z40,263.4746731
US313371NW21,907.3628795
US313371PC49,1436.023844
US313371VF06,385.1912959
US313371W511,505.015833
US313371ZY58,256.9756285
US3133725D29,254.6136369
US313372C289,310.6514233
US313373SZ62,1950.961381
US313375RN99,1048.351052
US313376ZQ12,798.4919057
US313379ER62,1064.739416
US313380L960,3206.680252
US313381H248,3295.212191
US313381YP41,3010.231526
US313382B777,516.0567368
US313382K851,535.3695658
US3133834R96,3064.246453
US313383R789,302.1910967
US313383RN32,266.976414
US313383SK83,272.4709342
US313383U254,268.2650789
US313383V815,3123.295494
US313383Z469,269.8342901
US313383ZF16,286.4246515
US3128X33E17,540.3402995
US3134A4UX02,3021.277762
US3134A4VC55,4136.584519
US3134A4VG69,4338.751222
US3134A4ZT45,4173.332204
US3137EAAD15,5299.645413
US3137EAAG46,4282.517495
US3137EAAJ84,4035.369956
US3128X9QX15,1099.19748
US3137EACH01,6261.411744
US3137EACM95,5233.156847
US3137EACT49,4375.325287
US3137EACW77,5234.220968
US3137EADA49,6100.496878
US3137EADD87,4522.297911
US3134G3WQ98,483.1192076
US3134G3WS54,316.6995679
US3134G3ZA10,2194.173187
US3134G3H781,1512.868492
US3134G3J761,1085.061186
US3134G3L247,1042.026808
US3134G3P958,855.3647813
US3134G3S507,1261.006954
US3134G3W558,1612.789316
US3134G32E94,1014.79507
US3134G34N75,290.4070542
US3134G36F24,1070.579623
US3134G36G07,1085.220478
US3137EADQ90,3547.500506
US3134G43P15,290.1649201
US3134G4DE52,542.6908788
US3137EADS56,3647.556127
US3134G4FJ22,1052.768271
US3134G4FZ63,529.9105472
US3134G4G518,342.2797701
US3134G4HE17,280.9759685
US3134G4LW68,331.7432304
US31359MXX63,410.4040375
US31359MA453,3114.00738
US31359MZC09,4032.729224
US31359MH896,5082.360259
US31359MS612,3261.807874
US31359MW416,4337.623998
US31398AU348,4073.672816
US31398AZ545,274.282635
US3136FPAB36,329.862615
US3136FPDY02,309.7728212
US3136FPET08,271.7417539
US31398A3T71,762.5641963
US31398A4K53,267.9121574
US31398A4M10,6756.679075
US31398A5R97,254.9280986
US3135G0AL73,2128.639486
US3135G0BA00,4067.127424
US3135G0CM39,5368.365961
US3135G0ES80,4393.154332
US3135G0FY40,5412.27347
US3135G0HG16,6001.332948
US3135G0KM47,4050.068159
US3135G0LN11,5198.5407
US3135G0NV19,5488.932506
US3135G0QB28,1070.376332
US3135G0SB00,4061.596971
US3135G0UW19,1032.196019
US3135G0VA89,6596.305874
US3135G0XP31,3154.781547
US3135G0YE74,3016.370221
US880591DY56,1065.935856
CA135087XS86,8048.989358
CA135087XX71,11096.40639
CA135087YB43,10451.65425
