,GOVT_USD_USA_1m,GOVT_USD_USA_3m,GOVT_USD_USA_6m,GOVT_USD_USA_1y,GOVT_USD_USA_2y,GOVT_USD_USA_3y,GOVT_USD_USA_5y,GOVT_USD_USA_7y,GOVT_USD_USA_10y,GOVT_USD_USA_20y,GOVT_USD_USA_30y
2006-02-09,0.044065709727730606,0.04597192769546177,0.046163119632173844,0.04606425828669833,0.04606482750835412,0.04565475424724611,0.04492529572606351,0.04494382766709205,0.04484175508515874,0.04725863089733901,0.04353108326999272
2006-02-10,0.044481913577896215,0.04607536234949405,0.046456250374859044,0.04645625037485916,0.046355935284447605,0.046151611485299227,0.04531306228693385,0.0453325362995363,0.04534714180898816,0.04762904584103048,0.043892750587657944
2006-02-13,0.04469007253103996,0.04628224973855133,0.04655395418167938,0.046455102383875645,0.04625505062025834,0.046051805457374535,0.04521421478792602,0.04523399919588717,0.04524883750185803,0.047664785805072864,0.044075429072270966
2006-02-14,0.045106504525014746,0.04628224973855133,0.04665164855728328,0.04655280385915428,0.04635275178370819,0.04625208015352826,0.045517595935053064,0.04553448982958782,0.045663473090157766,0.048075003054509374,0.044460834074755214
2006-02-15,0.044794163785486285,0.04628224973855133,0.046456250374859044,0.04645625037485916,0.0465565768681283,0.046247875716132744,0.04540982397361311,0.04542958084022247,0.04556066098999353,0.047837276327626674,0.044249135060547624
2006-02-16,0.04469007253103996,0.04628224973855133,0.04635854645390423,0.046358546453904394,0.04635854645390438,0.04615334402877833,0.04531408070183851,0.045333263738753946,0.0453476510164405,0.04776471864426466,0.044170272848460326
2006-02-17,0.044794163785486285,0.04617879974212946,0.04635854645390423,0.04625968988273118,0.046059638685886306,0.045856408355403146,0.04491378705437438,0.04482550532714744,0.04484556691500047,0.04712578562293848,0.04357817741876863
2006-02-21,0.045106504525014746,0.046385702473604074,0.04674934281922935,0.04674934281922936,0.04654871003768453,0.0462426682327442,0.0453015138099869,0.04521409365471076,0.045118869144024736,0.04714332787362052,0.043786376290798706
2006-02-22,0.04531477757848035,0.046489167813931864,0.046456250374859044,0.04635740090405475,0.04625765583826435,0.04605353403629736,0.04510999713897661,0.044911386224864756,0.04470332222432444,0.04673387615604355,0.04323974667112914
2006-02-23,0.04531477757848035,0.04669611657866968,0.04674934281922935,0.04674934281922936,0.04664902072704688,0.046444667994680014,0.04571117076814527,0.04517757000537513,0.04497752235486097,0.046886778566583236,0.04356292138214804
2006-02-24,0.04541892588883267,0.04679960000310679,0.04674934281922935,0.04674934281922936,0.04684966674918815,0.04643832011421903,0.04581276800932729,0.04538802423940933,0.04518326788804568,0.046956040154411995,0.04363999616037547
2006-02-27,0.04573143782995048,0.04700659480720426,0.04704239231830262,0.047042392318302484,0.046841750314881116,0.04653567274475805,0.04601557197131118,0.0454782922045132,0.045275733892398966,0.047320901794365655,0.043963427705491595
2006-02-28,0.045627256013321515,0.04700659480720426,0.04684702765134699,0.04674818772496107,0.046347531353392674,0.04614603537201033,0.04552036239410423,0.045095675324470265,0.04489087732862445,0.04692782155804363,0.04358702060007964
2006-03-01,0.04541892588883267,0.04679960000310679,0.04694471237028409,0.04684587011642189,0.04654551369523699,0.0462405523994845,0.04572145943429995,0.04540509267299625,0.045311152316101944,0.04733978750999811,0.04413689281252682
2006-03-02,0.04541892588883267,0.04700659480720426,0.04694471237028409,0.04684587011642189,0.046645817212164854,0.046647760993870885,0.04622718553645216,0.04601584904058167,0.04579800976266546,0.04796949374630597,0.04472608245670614
2006-03-03,0.04541892588883267,0.04700659480720426,0.04694471237028409,0.04694471237028421,0.047045042566035,0.0469415024324115,0.046520501822086696,0.04630896122628986,0.04620731272974209,0.04837598841365484,0.04511084433860453
2006-03-06,0.04531477757848035,0.04679960000310679,0.04714006283857271,0.04714006283857258,0.047140062838572465,0.0471400628385725,0.04703441573688408,0.046815244739038954,0.04682477961273136,0.04912416176014639,0.04563942546653536
2006-03-07,0.045627256013321515,0.04679960000310679,0.04714006283857271,0.04714006283857258,0.047140062838572465,0.047345426768370065,0.047024444687365975,0.04691883689563631,0.046809782931745925,0.04911610136817132,0.04563469790095946
2006-03-08,0.04541892588883267,0.046592635892918066,0.04714006283857271,0.04704123006811058,0.046640563625314685,0.04715757019485709,0.046939247924897926,0.04683007353832006,0.046718369514691015,0.04915696216991006,0.04565866255446618
2006-03-09,0.04531477757848035,0.04679960000310679,0.04714006283857271,0.04704123006811058,0.046640563625314685,0.04715757019485709,0.046939247924897926,0.04683007353832006,0.04683515977222813,0.049129740924642715,0.045642697693688554
2006-03-10,0.045523088678019574,0.04700659480720426,0.04723773324637789,0.047138898148081594,0.04683853386616169,0.04745748703715935,0.04713063823688881,0.0470225592273491,0.04702850915463511,0.04932710349066093,0.04583102775294171
2006-03-13,0.04541892588883267,0.04690309603580034,0.04772599978410656,0.04742954002451058,0.04682946609379835,0.04755408709281784,0.04722763122178432,0.0472305175145253,0.04711570467087842,0.04955780752459434,0.046205987591413325
2006-03-14,0.04583562419336418,0.04669611657866968,0.04743305509727724,0.046938914025137335,0.04603921654049513,0.04666361385082283,0.046236601354471184,0.046354111568897315,0.04658898002141479,0.04899393682419592,0.04565645601378089
2006-03-15,0.04593982504058958,0.047110106188356315,0.04753070654175743,0.04713540487819557,0.04633537926515869,0.04665092324050755,0.04633455514010227,0.0464520164685455,0.04680386759033444,0.04947771458511678,0.046086505419265664
