,AUD,CAD,CHF,CNY,EUR,GBP,JPY,NOK,NZD,SEK,SGD,GOVT_USD_USA_1m,GOVT_USD_USA_3m,GOVT_USD_USA_6m,GOVT_USD_USA_1y,GOVT_USD_USA_2y,GOVT_USD_USA_3y,GOVT_USD_USA_5y,GOVT_USD_USA_7y,GOVT_USD_USA_10y,GOVT_USD_USA_20y,GOVT_USD_USA_30y
2012-07-03,0.005357242637883161,0.00689114756966123,0.0028330117054086446,-0.0005039132116142486,0.002856691357090435,0.001465855397750404,-0.004397268219932471,0.0022972133346956802,0.0039786201929344345,-0.0010689626303199695,0.004825386098332718,0.2877737453541904,-0.10539801417355488,0.0,0.0,0.0,0.0,0.029693605882435747,0.03841923488264776,0.025028265487226697,0.027498801220484204,0.018487604789517942
2012-07-05,-0.00029147437660832776,-0.0006912556439772413,-0.01884000559295424,-0.0005980673161363192,-0.018877540265695852,-0.010950066188189889,-0.0022539453569248025,-0.013737899658416541,-0.0013658659849908605,-0.005126665510573503,-0.0015846608181006028,-0.13357722930041493,-0.11782053432767281,0.0,-0.10008348770178976,-0.06896795113866272,0.00019224436760278962,-0.014622465644595017,-0.028669454594700383,-0.018706848179827595,-0.008049509005311872,-0.007084674303404981
2012-07-06,-0.0101573292460253,-0.006690304372372146,-0.008113009840373567,-0.001305062411540714,-0.00818912429041399,-0.003289158426292904,0.004261726179476177,-0.013943695667965716,-0.010366669995371502,-0.009506658304106796,-0.007728745096459433,-0.1541965160537755,0.0,0.0,0.05129330812716937,-0.03644276093893328,-0.05276520058770284,-0.060958780283851155,-0.039060945880011744,-0.031876418619007474,-0.02705581224960163,-0.023417853126125543
2012-07-09,-0.0010803910101628567,-0.0011760095436100688,0.0013305359928203475,-0.0010836364125677012,0.0013017657033161656,0.0017426667204308854,-0.0006278646530111232,0.005173300341496878,-0.0012562815722616527,0.0024216881021303927,0.0017298321659002525,0.0,0.11782053432767281,-0.06896788658153774,2.4997815912364274e-05,1.2507982918741334e-05,-0.02747014607313325,-0.015781905681792274,-0.030657407607805,-0.02653864981204368,-0.01816727579534172,-0.0157020758593287
2012-07-10,0.0041188643108398815,0.0007838526758392507,-0.0034761306856693312,0.0008636731769642303,-0.0035839412801975112,-6.44890852447011e-05,0.002765558016580627,-0.001640016767753938,0.001758352625860965,0.004803714953231397,0.0030738940460039443,0.1541965160537755,0.0,0.06896788658153774,-2.4997815912364274e-05,-1.2507982918741334e-05,0.02747014607313325,-0.00010614657636320857,-7.687480563145499e-05,-5.5611637637120737e-05,-0.010401690444436174,-0.008829646308801564
2012-07-11,0.003321937593218298,0.0006863754743162247,-0.0010200959774725182,-0.00043978137292355335,-0.00089799589690992,0.0016753660726535613,-0.0032675660592520472,-0.0012937142041364869,0.0017552662480506964,-0.0026763431673928473,0.0033209487309594776,0.0,0.10539801417355488,0.0,0.0,0.0,-0.027478497013077252,0.01598917638687869,0.010321406754496998,0.006635513536527249,-0.0006181101773741204,-0.00045981996662414204
2012-07-12,-0.011872778430284338,-0.001959824243166871,-0.0035621634532185843,-0.0007848431501493724,-0.0036820399165654882,-0.006912842077969328,0.0051575685118621095,0.00014730071467483619,-0.010704717799204233,-0.005359726599031722,-0.0057650702614625016,0.13357722930041493,0.0,0.0,0.0,-0.07702367290925327,-0.028116674214740733,-0.015706162560994663,-0.010116433594340002,-0.02739708214548564,-0.01883369164765769,-0.010774674533457151
2012-07-13,0.00796346930769727,0.006285005467291514,0.00264496593668977,-0.000893970464411753,0.0027014874601607175,0.008071068833791606,0.0011357184639271267,0.0014250266532778166,0.0061849360935846975,0.00029859022978673266,0.0037869867743639263,0.0,0.0,0.0,0.0,0.0,-0.029067039240984194,0.00010112007882234764,0.010468281223869447,0.013840624133523605,0.00948846918531121,0.0027336391111174585
2012-07-16,0.002347418918304943,-0.0004924410401380731,0.002651980338450044,7.838649247982055e-05,0.0028572614238536187,0.00545135228456145,0.005063301956546695,0.0021167154522663267,0.0030154564877438728,-0.0012932475813154376,0.00023716352536151675,-0.693330524586969,0.0,-0.06896788658153774,-0.10533554615537888,-0.04075323878668424,-0.09247810384410027,-0.048825243113684635,-0.02017565698667667,-0.013073324577835166,-0.0090677113376616,-0.007832913191331059
2012-07-17,0.004386613263039043,0.0014780512125727556,-0.0027538392639263817,0.0009254249380152846,-0.0026937692302416993,-0.001408090350421387,-0.003041056575779244,-0.0015428555730969684,-0.0017579110503884443,0.00648302797129241,0.001978553136446237,0.693330524586969,0.0,0.0,0.0,0.04085330984222946,0.03176132697193168,0.03292776770574424,0.020498300202919317,0.020233365363001354,0.019162401734136747,0.011060404859134731
2012-07-18,0.006399091062232017,0.0028637752253576065,0.002345384239356596,0.0005493858789045181,0.0022045324298767544,0.0014720473713252802,0.0031679681820158123,-0.0010490944327490315,0.004263863996928047,0.007893153879820591,0.0030149181834454586,-0.13357722930041493,-0.10539801417355488,0.0,0.0,-0.12792729943330272,-0.06449694936884942,-0.0327458866025081,-0.020366471371770167,-0.006154088215375886,-0.004308362494863882,0.001621194191569586
2012-07-19,0.007318280134371739,0.0035664789141378293,-0.0003062318198789257,-0.000533693327373852,-0.00032629089122179766,0.005294223815392518,0.002414385822436138,0.005833123942560414,0.0051176545570476295,0.0011533028986445704,0.0041404629578939145,-0.1541965160537755,0.0,0.0,-0.05715842549840655,4.377595430504755e-05,0.03289851014270351,0.03298592397607525,0.020540464960543403,0.013164426717704458,0.014266229615566672,0.006902108368604054
