,AUD,CAD,CHF,CNY,EUR,GBP,JPY,NOK,NZD,SEK,SGD,GOVT_USD_USA_1m,GOVT_USD_USA_3m,GOVT_USD_USA_6m,GOVT_USD_USA_1y,GOVT_USD_USA_2y,GOVT_USD_USA_3y,GOVT_USD_USA_5y,GOVT_USD_USA_7y,GOVT_USD_USA_10y,GOVT_USD_USA_20y,GOVT_USD_USA_30y
2006-02-09,0.7396,1.1455,1.301,8.0558,1.1963,1.7411,118.66,6.7057,0.6775,7.7445,1.6285,0.044065709727730606,0.04597192769546177,0.046163119632173844,0.04606425828669833,0.04606482750835412,0.04565475424724611,0.04492529572606351,0.04494382766709205,0.04484175508515874,0.04725863089733901,0.04353108326999272
2006-02-10,0.7379,1.1543,1.3049,8.0516,1.192,1.7454,117.64,6.7765,0.6793,7.7873,1.6247,0.044481913577896215,0.04607536234949405,0.046456250374859044,0.04645625037485916,0.046355935284447605,0.046151611485299227,0.04531306228693385,0.0453325362995363,0.04534714180898816,0.04762904584103048,0.043892750587657944
2006-02-13,0.7396,1.1548,1.3074,8.0472,1.1905,1.7438,117.63,6.8107,0.6798,7.8533,1.6282,0.04469007253103996,0.04628224973855133,0.04655395418167938,0.046455102383875645,0.04625505062025834,0.046051805457374535,0.04521421478792602,0.04523399919588717,0.04524883750185803,0.047664785805072864,0.044075429072270966
2006-02-14,0.7389,1.1546,1.3097,8.0477,1.1895,1.7343,117.43,6.849,0.6737,7.8439,1.6276,0.045106504525014746,0.04628224973855133,0.04665164855728328,0.04655280385915428,0.04635275178370819,0.04625208015352826,0.045517595935053064,0.04553448982958782,0.045663473090157766,0.048075003054509374,0.044460834074755214
2006-02-15,0.7403,1.1541,1.3107,8.0481,1.1884,1.7401,117.93,6.847,0.6762,7.8432,1.6283,0.044794163785486285,0.04628224973855133,0.046456250374859044,0.04645625037485916,0.0465565768681283,0.046247875716132744,0.04540982397361311,0.04542958084022247,0.04556066098999353,0.047837276327626674,0.044249135060547624
2006-02-16,0.738,1.1577,1.3127,8.0494,1.1882,1.7354,117.91,6.8071,0.669,7.903,1.6353,0.04469007253103996,0.04628224973855133,0.04635854645390423,0.046358546453904394,0.04635854645390438,0.04615334402877833,0.04531408070183851,0.045333263738753946,0.0453476510164405,0.04776471864426466,0.044170272848460326
2006-02-17,0.7385,1.1522,1.3123,8.0493,1.1906,1.7403,118.43,6.7697,0.6674,7.8654,1.6333,0.044794163785486285,0.04617879974212946,0.04635854645390423,0.04625968988273118,0.046059638685886306,0.045856408355403146,0.04491378705437438,0.04482550532714744,0.04484556691500047,0.04712578562293848,0.04357817741876863
2006-02-21,0.7394,1.1464,1.3082,8.0485,1.1912,1.7447,118.85,6.7533,0.6623,7.8816,1.6302,0.045106504525014746,0.046385702473604074,0.04674934281922935,0.04674934281922936,0.04654871003768453,0.0462426682327442,0.0453015138099869,0.04521409365471076,0.045118869144024736,0.04714332787362052,0.043786376290798706
2006-02-22,0.7363,1.1482,1.3114,8.0497,1.1905,1.7425,118.51,6.7763,0.6588,7.875,1.6312,0.04531477757848035,0.046489167813931864,0.046456250374859044,0.04635740090405475,0.04625765583826435,0.04605353403629736,0.04510999713897661,0.044911386224864756,0.04470332222432444,0.04673387615604355,0.04323974667112914
2006-02-23,0.7397,1.1512,1.3083,8.0477,1.1923,1.7522,117.0,6.7412,0.6624,7.89,1.6247,0.04531477757848035,0.04669611657866968,0.04674934281922935,0.04674934281922936,0.04664902072704688,0.046444667994680014,0.04571117076814527,0.04517757000537513,0.04497752235486097,0.046886778566583236,0.04356292138214804
