Date,id_instr,value
2013-09-22,US31331GL808,15000
2014-03-22,US31331GL808,15000
2014-09-22,US31331GL808,1015000
2012-07-29,US313376UF02,1968.75
2013-01-29,US313376UF02,1875
2013-07-29,US313376UF02,1875
2014-01-29,US313376UF02,1001875
2011-11-27,US3133762C81,447.917
2012-05-27,US3133762C81,1875
2012-11-27,US3133762C81,1875
2013-05-27,US3133762C81,1875
2013-11-27,US3133762C81,1001875
2010-12-27,US313371UC83,947.917
2011-06-27,US313371UC83,4375
2011-12-27,US313371UC83,4375
2012-06-27,US313371UC83,4375
2012-12-27,US313371UC83,4375
2013-06-27,US313371UC83,4375
2013-12-27,US313371UC83,1004375
2004-12-18,US3133X7FK56,29312.5
2005-06-18,US3133X7FK56,26250
2005-12-18,US3133X7FK56,26250
2006-06-18,US3133X7FK56,26250
2006-12-18,US3133X7FK56,26250
2007-06-18,US3133X7FK56,26250
2007-12-18,US3133X7FK56,26250
2008-06-18,US3133X7FK56,26250
2008-12-18,US3133X7FK56,26250
2009-06-18,US3133X7FK56,26250
2009-12-18,US3133X7FK56,26250
2010-06-18,US3133X7FK56,26250
2010-12-18,US3133X7FK56,26250
2011-06-18,US3133X7FK56,26250
2011-12-18,US3133X7FK56,26250
2012-06-18,US3133X7FK56,26250
2012-12-18,US3133X7FK56,26250
2013-06-18,US3133X7FK56,26250
2013-12-18,US3133X7FK56,26250
2014-06-18,US3133X7FK56,1026250
2012-04-17,US3137EADD87,777.778
2012-10-17,US3137EADD87,2500
2013-04-17,US3137EADD87,2500
2013-10-17,US3137EADD87,2500
2014-04-17,US3137EADD87,2500
2014-10-17,US3137EADD87,2500
2015-04-17,US3137EADD87,1002500
2012-04-15,US3134G23H35,2430.556
2012-10-15,US3134G23H35,2500
2013-04-15,US3134G23H35,2500
2013-10-15,US3134G23H35,1002500
2013-01-12,US3137EADN69,1062.5
2013-07-12,US3137EADN69,3750
2014-01-12,US3137EADN69,3750
2014-07-12,US3137EADN69,3750
2015-01-12,US3137EADN69,3750
2015-07-12,US3137EADN69,3750
2016-01-12,US3137EADN69,3750
2016-07-12,US3137EADN69,3750
2017-01-12,US3137EADN69,3750
2017-07-12,US3137EADN69,3750
2018-01-12,US3137EADN69,1003750
2011-11-25,US3137EACY34,1020.833
2012-05-25,US3137EACY34,3750
2012-11-25,US3137EACY34,3750
2013-05-25,US3137EACY34,3750
2013-11-25,US3137EACY34,3750
2014-05-25,US3137EACY34,3750
2014-11-25,US3137EACY34,1003750
2011-10-30,US3137EACX50,427.083
2012-04-30,US3137EACX50,1875
2012-10-30,US3137EACX50,1875
2013-04-30,US3137EACX50,1875
2013-10-30,US3137EACX50,1001875
2012-06-29,US3137EADA49,3350.694
2012-12-29,US3137EADA49,3125
2013-06-29,US3137EADA49,3125
2013-12-29,US3137EADA49,3125
2014-06-29,US3137EADA49,3125
2014-12-29,US3137EADA49,1003125
2013-03-07,US3137EADP18,1215.278
2013-09-07,US3137EADP18,4375
2014-03-07,US3137EADP18,4375
2014-09-07,US3137EADP18,4375
2015-03-07,US3137EADP18,4375
2015-09-07,US3137EADP18,4375
2016-03-07,US3137EADP18,4375
2016-09-07,US3137EADP18,4375
2017-03-07,US3137EADP18,4375
2017-09-07,US3137EADP18,4375
2018-03-07,US3137EADP18,1004375
2012-03-08,US3137EADC05,1055.556
2012-09-08,US3137EADC05,5000
2013-03-08,US3137EADC05,5000
2013-09-08,US3137EADC05,5000
2014-03-08,US3137EADC05,5000
2014-09-08,US3137EADC05,5000
2015-03-08,US3137EADC05,5000
2015-09-08,US3137EADC05,5000
2016-03-08,US3137EADC05,5000
2016-09-08,US3137EADC05,5000
2017-03-08,US3137EADC05,1005000
2012-01-30,US3137EACU12,6611.111
2012-07-30,US3137EACU12,5000
2013-01-30,US3137EACU12,5000
2013-07-30,US3137EACU12,5000
2014-01-30,US3137EACU12,5000
2014-07-30,US3137EACU12,1005000
2011-08-27,US3137EACV94,1444.444
2012-02-27,US3137EACV94,5000
2012-08-27,US3137EACV94,5000
2013-02-27,US3137EACV94,5000
2013-08-27,US3137EACV94,5000
2014-02-27,US3137EACV94,5000
2014-08-27,US3137EACV94,1005000
2012-09-29,US3137EADL04,1361.111
2013-03-29,US3137EADL04,5000
2013-09-29,US3137EADL04,5000
2014-03-29,US3137EADL04,5000
2014-09-29,US3137EADL04,5000
2015-03-29,US3137EADL04,5000
2015-09-29,US3137EADL04,5000
2016-03-29,US3137EADL04,5000
2016-09-29,US3137EADL04,5000
2017-03-29,US3137EADL04,5000
2017-09-29,US3137EADL04,1005000
2011-03-10,US3137EACM95,8750
2011-09-10,US3137EACM95,8750
2012-03-10,US3137EACM95,8750
2012-09-10,US3137EACM95,8750
2013-03-10,US3137EACM95,8750
2013-09-10,US3137EACM95,8750
2014-03-10,US3137EACM95,8750
2014-09-10,US3137EACM95,8750
2015-03-10,US3137EACM95,8750
2015-09-10,US3137EACM95,1008750
2011-08-25,US3137EACR82,8746.528
2012-02-25,US3137EACR82,6875
2012-08-25,US3137EACR82,6875
2013-02-25,US3137EACR82,6875
2013-08-25,US3137EACR82,6875
2014-02-25,US3137EACR82,1006875
2011-04-29,US3134G2CL49,1050
2011-10-29,US3134G2CL49,6750
2012-04-29,US3134G2CL49,6750
2012-10-29,US3134G2CL49,6750
2013-04-29,US3134G2CL49,6750
2013-10-29,US3134G2CL49,6750
2014-04-29,US3134G2CL49,1006750
2011-08-25,US3137EACW77,2611.111
2012-02-25,US3137EACW77,10000
2012-08-25,US3137EACW77,10000
2013-02-25,US3137EACW77,10000
2013-08-25,US3137EACW77,10000
2014-02-25,US3137EACW77,10000
2014-08-25,US3137EACW77,10000
2015-02-25,US3137EACW77,10000
2015-08-25,US3137EACW77,10000
2016-02-25,US3137EACW77,10000
2016-08-25,US3137EACW77,1010000
2009-10-23,US3137EACB31,12430.556
2010-04-23,US3137EACB31,12500
2010-10-23,US3137EACB31,12500
2011-04-23,US3137EACB31,12500
2011-10-23,US3137EACB31,12500
2012-04-23,US3137EACB31,12500
2012-10-23,US3137EACB31,12500
2013-04-23,US3137EACB31,12500
2013-10-23,US3137EACB31,12500
2014-04-23,US3137EACB31,1012500
2011-11-27,US3137EACT49,15902.778
2012-05-27,US3137EACT49,12500
2012-11-27,US3137EACT49,12500
2013-05-27,US3137EACT49,12500
2013-11-27,US3137EACT49,12500
2014-05-27,US3137EACT49,12500
2014-11-27,US3137EACT49,12500
2015-05-27,US3137EACT49,12500
2015-11-27,US3137EACT49,12500
2016-05-27,US3137EACT49,1012500
2010-08-09,US3137EACH01,16930.556
2011-02-09,US3137EACH01,14375
2011-08-09,US3137EACH01,14375
2012-02-09,US3137EACH01,14375
2012-08-09,US3137EACH01,14375
2013-02-09,US3137EACH01,14375
2013-08-09,US3137EACH01,14375
2014-02-09,US3137EACH01,14375
2014-08-09,US3137EACH01,14375
2015-02-09,US3137EACH01,1014375
2009-03-27,US3137EABS74,24864.583
2009-09-27,US3137EABS74,20625
2010-03-27,US3137EABS74,20625
2010-09-27,US3137EABS74,20625
2011-03-27,US3137EABS74,20625
2011-09-27,US3137EABS74,20625
2012-03-27,US3137EABS74,20625
2012-09-27,US3137EABS74,20625
2013-03-27,US3137EABS74,20625
2013-09-27,US3137EABS74,1020625
2006-01-17,US3134A4VC55,22239.583
2006-07-17,US3134A4VC55,21875
2007-01-17,US3134A4VC55,21875
2007-07-17,US3134A4VC55,21875
2008-01-17,US3134A4VC55,21875
2008-07-17,US3134A4VC55,21875
2009-01-17,US3134A4VC55,21875
2009-07-17,US3134A4VC55,21875
2010-01-17,US3134A4VC55,21875
2010-07-17,US3134A4VC55,21875
2011-01-17,US3134A4VC55,21875
2011-07-17,US3134A4VC55,21875
2012-01-17,US3134A4VC55,21875
2012-07-17,US3134A4VC55,21875
2013-01-17,US3134A4VC55,21875
2013-07-17,US3134A4VC55,21875
2014-01-17,US3134A4VC55,21875
2014-07-17,US3134A4VC55,21875
2015-01-17,US3134A4VC55,21875
2015-07-17,US3134A4VC55,1021875
2004-07-15,US3134A4UM47,22375
2005-01-15,US3134A4UM47,22500
2005-07-15,US3134A4UM47,22500
2006-01-15,US3134A4UM47,22500
2006-07-15,US3134A4UM47,22500
2007-01-15,US3134A4UM47,22500
2007-07-15,US3134A4UM47,22500
2008-01-15,US3134A4UM47,22500
2008-07-15,US3134A4UM47,22500
2009-01-15,US3134A4UM47,22500
2009-07-15,US3134A4UM47,22500
2010-01-15,US3134A4UM47,22500
2010-07-15,US3134A4UM47,22500
2011-01-15,US3134A4UM47,22500
2011-07-15,US3134A4UM47,22500
2012-01-15,US3134A4UM47,22500
2012-07-15,US3134A4UM47,22500
2013-01-15,US3134A4UM47,22500
2013-07-15,US3134A4UM47,22500
2014-01-15,US3134A4UM47,1022500
2005-01-15,US3134A4UU62,24861.111
2005-07-15,US3134A4UU62,25000
2006-01-15,US3134A4UU62,25000
2006-07-15,US3134A4UU62,25000
2007-01-15,US3134A4UU62,25000
2007-07-15,US3134A4UU62,25000
2008-01-15,US3134A4UU62,25000
2008-07-15,US3134A4UU62,25000
2009-01-15,US3134A4UU62,25000
2009-07-15,US3134A4UU62,25000
2010-01-15,US3134A4UU62,25000
2010-07-15,US3134A4UU62,25000
2011-01-15,US3134A4UU62,25000
2011-07-15,US3134A4UU62,25000
2012-01-15,US3134A4UU62,25000
2012-07-15,US3134A4UU62,25000
2013-01-15,US3134A4UU62,25000
2013-07-15,US3134A4UU62,25000
2014-01-15,US3134A4UU62,25000
2014-07-15,US3134A4UU62,1025000
2007-01-18,US3137EAAG46,28263.889
2007-07-18,US3137EAAG46,27500
2008-01-18,US3137EAAG46,27500
2008-07-18,US3137EAAG46,27500
2009-01-18,US3137EAAG46,27500
2009-07-18,US3137EAAG46,27500
2010-01-18,US3137EAAG46,27500
2010-07-18,US3137EAAG46,27500
2011-01-18,US3137EAAG46,27500
2011-07-18,US3137EAAG46,27500
2012-01-18,US3137EAAG46,27500
2012-07-18,US3137EAAG46,27500
2013-01-18,US3137EAAG46,27500
2013-07-18,US3137EAAG46,27500
2014-01-18,US3137EAAG46,27500
2014-07-18,US3137EAAG46,27500
2015-01-18,US3137EAAG46,27500
2015-07-18,US3137EAAG46,27500
2016-01-18,US3137EAAG46,27500
2016-07-18,US3137EAAG46,1027500
2006-10-18,US3137EAAD15,26979.167
2007-04-18,US3137EAAD15,26250
2007-10-18,US3137EAAD15,26250
2008-04-18,US3137EAAD15,26250
2008-10-18,US3137EAAD15,26250
2009-04-18,US3137EAAD15,26250
2009-10-18,US3137EAAD15,26250
2010-04-18,US3137EAAD15,26250
2010-10-18,US3137EAAD15,26250
2011-04-18,US3137EAAD15,26250
2011-10-18,US3137EAAD15,26250
2012-04-18,US3137EAAD15,26250
2012-10-18,US3137EAAD15,26250
2013-04-18,US3137EAAD15,26250
2013-10-18,US3137EAAD15,26250
2014-04-18,US3137EAAD15,26250
2014-10-18,US3137EAAD15,26250
