,AUD,CAD,CHF,CNY,EUR,GBP,JPY,NOK,NZD,SEK,SGD
1971-01-04,1.1127,1.0109,4.318,,,2.3938,357.73,7.1359,1.1138,5.1643,
1971-01-05,1.1132,1.0102,4.3117,,,2.3949,357.81,7.1422,1.1143,5.1628,
1971-01-06,1.114,1.0106,4.3113,,,2.3967,357.86,7.1367,1.1151,5.1614,
1971-01-07,1.1138,1.0148,4.3103,,,2.3963,357.87,7.1386,1.115,5.1649,
1971-01-08,1.1124,1.0154,4.3109,,,2.3972,357.82,7.1382,1.1154,5.1631,
1971-01-11,1.1152,1.0159,4.3102,,,2.3992,357.95,7.139,1.1163,5.1642,
1971-01-12,1.1156,1.013,4.3099,,,2.4001,358.06,7.1411,1.1167,5.1643,
1971-01-13,1.1165,1.0122,4.3095,,,2.4021,358.44,7.139,1.1177,5.1615,
1971-01-14,1.1189,1.0133,4.3095,,,2.4071,358.4,7.1403,1.12,5.1625,
1971-01-15,1.1182,1.0135,4.3076,,,2.4057,358.4,7.1414,1.1193,5.164,
1971-01-18,1.1179,1.0126,4.3029,,,2.4052,358.29,7.1406,1.1191,5.1651,
1971-01-19,1.1193,1.0111,4.3006,,,2.4081,358.35,7.1429,1.1205,5.1657,
1971-01-20,1.1193,1.0115,4.301,,,2.408,358.4,7.1429,1.1204,5.1636,
1971-01-21,1.1198,1.0109,4.3017,,,2.4092,358.27,7.1443,1.121,5.1648,
1971-01-22,1.1204,1.0117,4.2996,,,2.4103,357.9,7.1429,1.1215,5.1626,
1971-01-25,1.1224,1.0111,4.3005,,,2.4147,357.73,7.1435,1.1236,5.1626,
1971-01-26,1.123,1.0107,4.2987,,,2.416,357.78,7.1443,1.1241,5.164,
1971-01-27,1.123,1.0101,4.2973,,,2.4161,357.79,7.1414,1.1242,5.1635,
1971-01-28,1.1234,1.009,4.2978,,,2.4169,357.83,7.1431,1.1246,5.1653,
1971-01-29,1.1236,1.008,4.2963,,,2.4174,357.72,7.1445,1.1248,5.1675,
1971-02-01,1.1241,1.0076,4.2968,,,2.4184,357.67,7.1465,1.1253,5.1778,
1971-02-02,1.124,1.0087,4.2969,,,2.4181,357.55,7.1465,1.1251,5.1778,
1971-02-03,1.1241,1.0085,4.2965,,,2.4184,357.54,7.1439,1.1253,5.1742,
1971-02-04,1.1233,1.0078,4.2966,,,2.4167,357.51,7.1431,1.1245,5.1733,
1971-02-05,1.1224,1.0078,4.2969,,,2.4147,357.53,7.1435,1.1235,5.1784,
1971-02-08,1.124,1.0083,4.2979,,,2.4182,357.49,7.1429,1.1252,5.1813,
1971-02-09,1.1226,1.0083,4.2969,,,2.4151,357.5,7.1397,1.1237,5.1811,
1971-02-10,1.1229,1.0086,4.2972,,,2.4159,357.5,7.1412,1.1241,5.1799,
1971-02-11,1.1229,1.0086,4.2967,,,2.4158,357.5,7.141,1.124,5.1778,
1971-02-12,,,,,,,,,,,
1971-02-15,,,,,,,,,,,
1971-02-16,1.1245,1.0084,4.2968,,,2.4193,357.53,7.1406,1.1257,5.1752,
1971-02-17,1.1245,1.0087,4.2968,,,2.4193,357.53,7.139,1.1257,5.1706,
1971-02-18,1.1244,1.0076,4.2967,,,2.4191,357.53,7.1418,1.1256,5.17,
1971-02-19,1.1244,1.0066,4.2963,,,2.419,357.56,7.1437,1.1255,5.1692,
1971-02-22,1.1245,1.0043,4.2958,,,2.4192,357.6,7.1434,1.1256,5.1664,
1971-02-23,1.1245,1.0035,4.2957,,,2.4193,357.55,7.1429,1.1257,5.161,
1971-02-24,1.1245,1.0075,4.3015,,,2.4193,357.6,7.1418,1.1257,5.1631,
1971-02-25,1.1238,1.0066,4.3073,,,2.4177,357.56,7.1414,1.1249,5.1652,
1971-02-26,1.123,1.007,4.307,,,2.416,357.56,7.142,1.1241,5.1652,
1971-03-01,1.1231,1.0076,4.3073,,,2.4162,357.63,7.1416,1.1242,5.1631,
1971-03-02,1.1241,1.0071,4.3054,,,2.4184,357.56,7.1413,1.1253,5.1638,
1971-03-03,1.1245,1.0073,4.3039,,,2.4193,357.49,7.1376,1.1257,5.1622,
1971-03-04,1.1239,1.0064,4.3068,,,2.4179,357.45,7.1389,1.125,5.1631,
1971-03-05,1.1241,1.0047,4.3066,,,2.4183,357.59,7.1382,1.1252,5.1631,
1971-03-08,1.1245,1.003,4.302,,,2.4192,357.55,7.1365,1.1256,5.1635,
1971-03-09,1.1244,1.004,4.3011,,,2.4188,357.46,7.1352,1.1256,5.1644,
1971-03-10,1.1245,1.0036,4.304,,,2.4192,357.59,7.1352,1.1256,5.1625,
1971-03-11,1.1243,1.0049,4.3012,,,2.4188,357.56,7.1367,1.1254,5.1636,
1971-03-12,1.1245,1.0056,4.301,,,2.4193,357.58,7.1363,1.1257,5.1626,
1971-03-15,1.1245,1.0059,4.3004,,,2.4193,357.54,7.138,1.1257,5.1626,
1971-03-16,1.1241,1.0052,4.3002,,,2.4183,357.49,7.138,1.1252,5.1623,
1971-03-17,1.1246,1.0056,4.2995,,,2.4194,357.53,7.139,1.1257,5.1613,
1971-03-18,1.1244,1.0065,4.2983,,,2.419,357.56,7.139,1.1255,5.1625,
1971-03-19,1.1244,1.0077,4.2972,,,2.419,357.56,7.1387,1.1255,5.1621,
1971-03-22,1.1245,1.0079,4.2971,,,2.4193,357.44,7.1412,1.1257,5.1617,
1971-03-23,1.1245,1.0078,4.2972,,,2.4193,357.53,7.1414,1.1257,5.162,
1971-03-24,1.1246,1.0076,4.2968,,,2.4194,357.53,7.139,1.1257,5.1613,
1971-03-25,1.1241,1.007,4.2969,,,2.4185,357.47,7.1388,1.1253,5.1626,
1971-03-26,1.1243,1.0074,4.2959,,,2.4188,357.47,7.1365,1.1254,5.1637,
1971-03-29,1.1246,1.0075,4.2966,,,2.4194,357.44,7.1348,1.1257,5.1648,
1971-03-30,1.124,1.0082,4.2958,,,2.4181,357.49,7.1327,1.1251,5.1631,
1971-03-31,1.1234,1.0081,4.2954,,,2.4168,357.42,7.1314,1.1245,5.1624,
1971-04-01,1.1224,1.0076,4.2955,,,2.4147,357.49,7.1325,1.1235,5.1645,
1971-04-02,1.1213,1.0073,4.2947,,,2.4125,357.53,7.1329,1.1225,5.1644,
1971-04-05,1.123,1.0071,4.2971,,,2.4161,357.5,7.1329,1.1242,5.1646,
1971-04-06,1.1243,1.0062,4.2974,,,2.4189,357.46,7.1291,1.1255,5.1628,
1971-04-07,1.1234,1.0069,4.296,,,2.417,357.55,7.1289,1.1246,5.1637,
1971-04-08,1.1233,1.0071,4.2937,,,2.4167,357.55,7.1284,1.1245,5.1653,
1971-04-09,1.1233,1.0068,4.2951,,,2.4167,357.5,7.1278,1.1245,5.165,
1971-04-12,1.1234,1.0069,4.2969,,,2.4169,357.5,7.1289,1.1246,5.1646,
1971-04-13,1.1233,1.0076,4.3019,,,2.4167,357.62,7.1304,1.1245,5.1653,
1971-04-14,1.1239,1.0081,4.3024,,,2.418,357.58,7.1286,1.125,5.1644,
1971-04-15,1.1242,1.0075,4.2992,,,2.4187,357.5,7.1276,1.1254,5.1633,
1971-04-16,1.1242,1.0068,4.3019,,,2.4186,357.54,7.1273,1.1253,5.1615,
1971-04-19,1.1245,1.0073,4.3052,,,2.4193,357.49,7.1259,1.1256,5.1619,
1971-04-20,1.1245,1.0075,4.3039,,,2.4193,357.49,7.1253,1.1257,5.1623,
1971-04-21,1.1246,1.0073,4.3008,,,2.4196,357.49,7.1236,1.1258,5.1611,
1971-04-22,1.1242,1.0076,4.2995,,,2.4187,357.49,7.1268,1.1254,5.162,
1971-04-23,1.1243,1.0085,4.3025,,,2.4189,357.49,7.1289,1.1255,5.1612,
1971-04-26,1.1243,1.0092,4.3008,,,2.4188,357.5,7.1289,1.1254,5.1624,
1971-04-27,1.1244,1.0095,4.299,,,2.419,357.49,7.1301,1.1255,5.1615,
1971-04-28,1.1246,1.0089,4.2957,,,2.4195,357.5,7.1263,1.1258,5.1615,
1971-04-29,1.1245,1.0086,4.2957,,,2.4192,357.41,7.1291,1.1256,5.1616,
1971-04-30,1.1245,1.0091,4.2959,,,2.4193,357.4,7.1312,1.1257,5.1614,
1971-05-03,1.1243,1.0089,4.2955,,,2.4189,357.41,7.1309,1.1255,5.162,
1971-05-04,1.1242,1.009,4.2952,,,2.4185,357.4,7.1308,1.1253,5.1613,
1971-05-05,1.1246,1.0074,4.1841,,,2.4194,357.4,7.1279,1.1257,5.1673,
1971-05-06,1.1242,1.0074,4.1667,,,2.4185,357.41,7.124,1.1253,5.1724,
1971-05-07,1.1243,1.0069,4.1374,,,2.4188,357.41,7.1247,1.1255,5.1726,
1971-05-10,1.1236,1.0084,4.1076,,,2.4173,357.14,7.1103,1.1248,5.1683,
1971-05-11,1.1235,1.0084,4.1164,,,2.417,357.44,7.1138,1.1246,5.1731,
1971-05-12,1.124,1.0083,4.1095,,,2.4183,357.53,7.1162,1.1252,5.1714,
1971-05-13,1.124,1.0089,4.095,,,2.4183,357.49,7.1133,1.1252,5.1655,
1971-05-14,1.1242,1.0089,4.095,,,2.4186,357.49,7.1111,1.1253,5.1664,
1971-05-17,1.1245,1.0089,4.0914,,,2.4193,357.4,7.1116,1.1256,5.1634,
1971-05-18,1.1244,1.0089,4.0872,,,2.419,357.44,7.108,1.1255,5.1622,
1971-05-19,1.1246,1.0095,4.0866,,,2.4194,357.4,7.1076,1.1257,5.1645,
1971-05-20,1.1245,1.0093,4.0869,,,2.4193,357.46,7.1086,1.1256,5.1649,
1971-05-21,1.1246,1.0092,4.0733,,,2.4194,357.4,7.1086,1.1257,5.1645,
1971-05-24,1.1246,1.009,4.0771,,,2.4194,357.4,7.1066,1.1257,5.163,
1971-05-25,1.1244,1.0091,4.0868,,,2.419,357.4,7.1086,1.1255,5.1644,
1971-05-26,1.1246,1.0086,4.0882,,,2.4194,357.44,7.1083,1.1257,5.1632,
1971-05-27,1.1243,1.0093,4.0984,,,2.4187,357.4,7.1084,1.1254,5.1653,
1971-05-28,1.1238,1.0101,4.1058,,,2.4178,357.4,7.1115,1.125,5.1648,
1971-05-31,,,,,,,,,,,
1971-06-01,1.1231,1.0126,4.1059,,,2.4162,357.46,7.1136,1.1243,5.1661,
1971-06-02,1.1234,1.0134,4.0995,,,2.417,357.4,7.1132,1.1246,5.1675,
1971-06-03,1.1243,1.0185,4.0898,,,2.4188,357.46,7.1136,1.1254,5.165,
1971-06-04,1.1244,1.0174,4.094,,,2.419,357.4,7.1143,1.1255,5.1645,
1971-06-07,1.1245,1.0161,4.0879,,,2.4192,357.4,7.1126,1.1256,5.1639,
1971-06-08,1.1243,1.0179,4.0896,,,2.4188,357.4,7.113,1.1254,5.164,
1971-06-09,1.1246,1.0186,4.0909,,,2.4194,357.4,7.1111,1.1257,5.1626,
1971-06-10,1.1245,1.0239,4.0851,,,2.4193,357.4,7.1111,1.1256,5.1632,
1971-06-11,1.1246,1.0239,4.0885,,,2.4194,357.4,7.1111,1.1257,5.162,
1971-06-14,1.1242,1.0232,4.0901,,,2.4186,357.4,7.1114,1.1254,5.1628,
1971-06-15,1.1242,1.0248,4.0948,,,2.4187,357.46,7.1136,1.1254,5.1651,
1971-06-16,1.1245,1.0244,4.0907,,,2.4193,357.46,7.1124,1.1256,5.1643,
1971-06-17,1.1243,1.0242,4.094,,,2.4189,357.46,7.1128,1.1255,5.1626,
1971-06-18,1.1244,1.0225,4.0931,,,2.4191,357.4,7.1134,1.1256,5.1625,
1971-06-21,1.1244,1.0242,4.0929,,,2.4191,357.4,7.1114,1.1256,5.1621,
1971-06-22,1.1244,1.0243,4.0961,,,2.419,357.4,7.1115,1.1255,5.1614,
1971-06-23,1.1246,1.0234,4.0943,,,2.4195,357.4,7.1088,1.1258,5.1586,
1971-06-24,1.1244,1.0242,4.094,,,2.4191,357.4,7.1092,1.1256,5.1593,
1971-06-25,1.1244,1.0233,4.0944,,,2.4191,357.4,7.1084,1.1256,5.1585,
1971-06-28,1.1242,1.0221,4.0981,,,2.4185,357.37,7.1071,1.1253,5.1613,
1971-06-29,1.1244,1.023,4.1017,,,2.419,357.39,7.1066,1.1255,5.1591,
1971-06-30,1.1246,1.0235,4.0989,,,2.4196,357.4,7.1048,1.1258,5.1588,
1971-07-01,1.1243,1.0232,4.0966,,,2.419,357.4,7.1065,1.1255,5.16,
1971-07-02,1.1243,1.0226,4.0989,,,2.419,357.4,7.1066,1.1255,5.1616,
1971-07-05,,,,,,,,,,,
1971-07-06,1.124,1.023,4.1037,,,2.4181,357.45,7.1086,1.1251,5.1638,
1971-07-07,1.1242,1.0233,4.1049,,,2.4187,357.46,7.1061,1.1254,5.1634,
1971-07-08,1.1242,1.023,4.105,,,2.4185,357.46,7.1063,1.1259,5.1652,
1971-07-09,1.1241,1.023,4.1061,,,2.4183,357.4,7.1061,1.1252,5.1661,
1971-07-12,1.124,1.0231,4.106,,,2.4182,357.41,7.1061,1.1252,5.168,
1971-07-13,1.1239,1.0231,4.1038,,,2.418,357.44,7.1048,1.1251,5.1682,
1971-07-14,1.1242,1.023,4.098,,,2.4187,357.4,7.1023,1.1254,5.1643,
1971-07-15,1.1242,1.0227,4.0939,,,2.4187,357.4,7.1021,1.1254,5.1605,
1971-07-16,1.1243,1.0228,4.0934,,,2.4189,357.4,7.1035,1.1255,5.1621,
1971-07-19,1.124,1.0222,4.0915,,,2.4183,357.39,7.1034,1.1252,5.1634,
1971-07-20,1.124,1.0203,4.0909,,,2.4182,357.39,7.1048,1.1251,5.1614,
1971-07-21,1.1244,1.02,4.0886,,,2.4191,357.4,7.1035,1.1255,5.1594,
1971-07-22,1.1243,1.0175,4.0866,,,2.4188,357.37,7.104,1.1254,5.16,
1971-07-23,1.1243,1.0151,4.0866,,,2.419,357.36,7.1061,1.1255,5.1597,
1971-07-26,1.1239,1.0176,4.0862,,,2.418,357.4,7.1086,1.125,5.1609,
1971-07-27,1.1238,1.0205,4.0862,,,2.4178,357.37,7.1105,1.125,5.1607,
1971-07-28,1.1241,1.0221,4.0854,,,2.4185,357.4,7.1084,1.1253,5.1596,
1971-07-29,1.1241,1.0207,4.0871,,,2.4184,357.4,7.108,1.1253,5.1599,
1971-07-30,1.1241,1.0188,4.0862,,,2.4184,357.39,7.1066,1.1252,5.1591,
1971-08-02,1.1237,1.0193,4.0878,,,2.4175,357.41,7.1068,1.1248,5.16,
1971-08-03,1.1235,1.0195,4.0887,,,2.417,357.37,7.1076,1.1246,5.1615,
1971-08-04,1.1245,1.0185,4.0607,,,2.4193,357.37,7.1059,1.1256,5.1593,
1971-08-05,1.124,1.0168,4.0616,,,2.4183,357.37,7.1035,1.1242,5.1596,
1971-08-06,1.1241,1.0186,4.0699,,,2.4185,357.37,7.1035,1.1253,5.1597,
1971-08-09,1.1245,1.0063,4.0532,,,2.4192,357.35,7.1017,1.1256,5.1598,
1971-08-10,1.1242,1.0128,4.0582,,,2.4187,357.39,7.0972,1.1254,5.1624,
1971-08-11,1.1247,1.0143,4.06,,,2.4197,357.35,7.095,1.1258,5.1614,
1971-08-12,1.1246,1.0132,4.0527,,,2.4196,357.4,7.0947,1.1258,5.163,
1971-08-13,1.1246,1.0119,4.0633,,,2.4195,357.35,7.0937,1.1257,5.1593,
1971-08-16,,1.0098,,,,,,,,,
1971-08-17,,1.0067,,,,,,,,,
1971-08-18,,1.0087,,,,,,,,,
1971-08-19,,1.0112,,,,,,,,,
1971-08-20,,1.0113,,,,,,,,,
1971-08-23,1.1318,1.0128,3.9932,,,2.435,,6.9727,1.133,5.1053,
1971-08-24,1.1363,1.0143,3.9761,,,2.4447,,6.9234,1.1375,5.0889,
1971-08-25,1.1428,1.0121,3.9748,,,2.4589,,6.8999,1.144,5.0855,
1971-08-26,1.1492,1.0106,3.9651,,,2.4723,,6.8776,1.1504,5.0787,
1971-08-27,1.1478,1.01,3.9732,,,2.4693,,6.8861,1.1489,5.0671,
1971-08-30,1.1471,1.0135,3.9878,,,2.4677,,6.8884,1.1485,5.0633,
1971-08-31,1.1406,1.0142,3.9936,,,2.4535,339.85,6.9143,1.1417,5.0793,
1971-09-01,1.1409,1.0162,4.0024,,,2.4541,341.01,6.9216,1.142,5.0933,
1971-09-02,1.1423,1.0143,3.9992,,,2.4576,338.98,6.921,1.1434,5.0879,
1971-09-03,1.1432,1.0146,3.979,,,2.459,340.14,6.9144,1.1445,5.0807,
1971-09-06,,,,,,,,,,,
1971-09-07,1.1427,1.0162,3.9999,,,2.4583,339.79,6.938,1.1438,5.0839,
1971-09-08,1.1427,1.0161,3.9963,,,2.4584,339.39,6.9292,1.1439,5.0913,
1971-09-09,1.1428,1.0157,3.9948,,,2.4587,339.07,6.9292,1.144,5.0913,
1971-09-10,1.1431,1.0159,3.9933,,,2.4592,338.81,6.9264,1.1443,5.0897,
1971-09-13,1.1435,1.0161,3.9984,,,2.4602,338.98,6.923,1.1447,5.0845,
1971-09-14,1.1465,1.0153,3.9897,,,2.467,338.24,6.9204,1.1476,5.0798,
1971-09-15,1.1485,1.0141,3.9853,,,2.4709,338.41,6.9125,1.1497,5.0747,
1971-09-16,1.1485,1.0142,3.986,,,2.471,337.84,6.9091,1.1497,5.0736,
1971-09-17,1.149,1.0136,3.9864,,,2.472,337.95,6.8975,1.1501,5.0715,
1971-09-20,1.15,1.012,3.9714,,,2.4743,337.27,6.8764,1.1511,5.0656,
1971-09-21,1.1496,1.0122,3.9751,,,2.4733,337.34,6.8766,1.1508,5.0581,
1971-09-22,1.15,1.0119,3.9714,,,2.474,337.44,6.8806,1.1511,5.0599,
1971-09-23,1.153,1.0092,3.9563,,,2.4805,337.27,6.8816,1.1541,5.058,
1971-09-24,1.1539,1.0066,3.9698,,,2.4825,336.98,6.8501,1.1551,5.0314,
1971-09-27,1.153,1.0098,3.9689,,,2.4803,336.25,6.8579,1.1541,5.047,
1971-09-28,1.1518,1.0099,3.9681,,,2.4782,336.36,6.8819,1.153,5.0452,
1971-09-29,1.1545,1.0098,3.9594,,,2.4838,335.57,6.8697,1.1557,5.0355,
1971-09-30,1.1549,1.0093,3.9541,,,2.4847,335.35,6.8672,1.156,5.0273,
1971-10-01,1.157,1.0091,3.9588,,,2.4892,333.39,6.8611,1.1582,5.0176,
1971-10-04,1.1569,1.0082,3.9599,,,2.4889,333.17,6.8521,1.158,5.0163,
1971-10-05,1.1571,1.0079,3.9596,,,2.4894,333.14,6.8493,1.1582,5.0201,
1971-10-06,1.1567,1.0075,3.9603,,,2.4882,332.65,6.8479,1.1577,5.013,
1971-10-07,1.1571,1.0062,3.9604,,,2.4894,332.61,6.846,1.1582,5.0177,
1971-10-08,1.1574,1.0057,3.9659,,,2.4802,332.37,6.8438,1.1586,5.0176,
1971-10-11,,,,,,,,,,,
1971-10-12,1.1572,1.0054,3.9699,,,2.4895,330.52,6.8416,1.1583,5.0221,
1971-10-13,1.157,1.0056,3.9781,,,2.4891,331.4,6.8411,1.1581,5.0272,
1971-10-14,1.1572,1.0045,3.9824,,,2.4806,330.85,6.8443,1.1584,5.0314,
1971-10-15,1.1569,1.0051,3.9833,,,2.4889,330.58,6.848,1.1581,5.0302,
1971-10-18,1.1571,1.0045,3.9727,,,2.4894,329.6,6.8481,1.1583,5.0286,
1971-10-19,1.1571,1.0036,3.9749,,,2.4893,330.85,6.8526,1.1582,5.0256,
1971-10-20,1.1579,1.0034,3.9755,,,2.4912,331.07,6.8515,1.1591,5.0263,
1971-10-21,1.1584,1.0034,3.9774,,,2.4921,330.79,6.8528,1.1595,5.0262,
1971-10-22,1.1586,1.0007,3.9799,,,2.4927,330.36,6.8533,1.1598,5.0217,
1971-10-25,,,,,,,,,,,
1971-10-26,1.1592,1.0019,3.9914,,,2.494,329.0,6.8528,1.1604,5.0164,
1971-10-27,1.1595,1.0013,3.9948,,,2.4945,329.54,6.8523,1.1606,5.0173,
1971-10-28,1.1592,1.0017,3.988,,,2.4938,329.71,6.854,1.1603,5.0176,
1971-10-29,1.158,1.0036,3.9927,,,2.4914,329.5,6.8538,1.1592,5.0196,
1971-11-01,1.1586,1.0054,3.996,,,2.4927,329.45,6.8543,1.1598,5.0247,
1971-11-02,,,,,,,,,,,
1971-11-03,1.1587,1.0036,3.9917,,,2.493,329.5,6.8621,1.16,5.0226,
1971-11-04,1.1587,1.0042,3.9912,,,2.4928,330.87,6.864,1.1598,5.0245,
1971-11-05,1.159,1.0048,3.9911,,,2.4936,329.16,6.8634,1.1602,5.0196,
1971-11-08,1.1588,1.0058,3.9946,,,2.4931,329.22,6.8672,1.16,5.022,
1971-11-09,1.1586,1.006,3.9946,,,2.4926,329.16,6.8684,1.1597,5.0207,
1971-11-10,1.1586,1.0053,3.996,,,2.4925,329.11,6.8681,1.1597,5.0207,
1971-11-11,1.1589,1.0048,3.9952,,,2.4934,329.11,6.8681,1.1601,5.0203,
1971-11-12,1.1591,1.0045,3.9943,,,2.4937,329.49,6.8658,1.1603,5.0136,
1971-11-15,1.1588,1.0038,3.9944,,,2.493,328.73,6.8687,1.16,5.0136,
1971-11-16,1.1587,1.0034,3.9948,,,2.4929,328.62,6.8709,1.1599,5.0094,
1971-11-17,1.1591,1.0037,3.996,,,2.4938,328.8,6.8693,1.1603,5.0074,
1971-11-18,1.159,1.0036,3.9965,,,2.4935,328.68,6.8703,1.1602,5.0088,
1971-11-19,1.1592,1.0027,3.9839,,,2.4938,328.4,6.8674,1.1603,5.0044,
1971-11-22,1.1591,1.0027,3.9761,,,2.4937,328.41,6.8678,1.1603,5.001,
1971-11-23,1.1592,1.0027,3.9647,,,2.4939,328.19,6.8564,1.1604,4.9897,
1971-11-24,1.159,1.0026,3.9526,,,2.4935,328.04,6.839,1.1602,4.9775,
1971-11-25,,,,,,,,,,,
1971-11-26,1.1591,1.0027,3.9555,,,2.4937,327.6,6.8338,1.1603,4.9565,
1971-11-29,1.1592,1.0027,3.9539,,,2.4938,327.06,6.8283,1.1603,4.9427,
1971-11-30,1.1591,1.0036,3.9555,,,2.4937,327.44,6.8376,1.1603,4.957,
1971-12-01,1.1592,1.003,3.9489,,,2.4939,327.6,6.8386,1.1604,4.9346,
1971-12-02,1.1588,1.0027,3.9335,,,2.493,326.0,6.819,1.1599,4.926,
1971-12-03,1.1613,1.0026,3.917,,,2.4985,325.1,6.8058,1.1625,4.9257,
1971-12-06,1.161,1.001,3.8948,,,2.4978,326.53,6.8068,1.1621,4.9128,
1971-12-07,1.1625,1.0011,3.8997,,,2.5011,323.62,6.7688,1.1638,4.8888,
1971-12-08,1.1657,0.9997,3.8986,,,2.5079,323.5,6.7696,1.1669,4.89,
1971-12-09,1.1702,0.9978,3.9,,,2.5175,323.52,6.7686,1.1714,4.8959,
1971-12-10,1.1704,0.9957,3.8998,,,2.5182,323.1,6.7636,1.1717,4.8972,
1971-12-13,1.1708,0.9967,3.9027,,,2.519,322.79,6.7564,1.172,4.8969,
1971-12-14,1.1708,0.9971,3.885,,,2.5189,322.58,6.7407,1.1722,4.8968,
1971-12-15,1.171,0.9969,3.8756,,,2.5192,321.54,6.7509,1.172,4.8924,
1971-12-16,1.1712,0.9973,3.8826,,,2.5197,320.0,6.7429,1.1724,4.8909,
1971-12-17,1.1756,0.9967,3.8754,,,2.5292,320.36,6.7448,1.1768,4.8924,
1971-12-20,,0.9933,,,,,,,,,
1971-12-21,,0.9967,3.8842,,,2.5537,314.98,6.7233,,4.8715,
1971-12-22,1.1871,0.9985,3.885,,,2.5538,314.96,6.7052,,4.8729,
1971-12-23,1.1864,1.0004,3.9043,,,2.5485,315.01,6.7019,,4.8796,
1971-12-24,1.1871,1.0006,3.9092,,,2.5477,315.21,6.7019,,4.8742,
1971-12-27,1.1882,1.0002,3.9193,,,2.5482,314.96,6.7086,,4.889,
1971-12-28,1.1879,1.0014,3.9192,,,2.5473,315.01,6.7159,1.189,4.8896,
1971-12-29,1.1888,1.0019,3.9212,,,2.5474,315.21,6.7383,1.1892,4.9019,
1971-12-30,1.1887,1.0008,3.9196,,,2.5536,315.01,6.7135,1.1893,4.8838,
1971-12-31,1.1887,1.0024,3.9147,,,2.552,315.01,6.7069,1.1913,4.8631,
1972-01-03,1.191,1.0041,3.9177,,,2.552,314.86,6.7035,1.195,4.8544,
1972-01-04,1.19,1.0052,3.92,,,2.5505,314.96,6.7159,1.1915,4.855,
1972-01-05,1.1905,1.005,3.9216,,,2.551,314.86,6.7204,1.1925,4.852,
1972-01-06,1.1905,1.005,3.9185,,,2.5502,312.01,6.7221,1.192,4.8514,
1972-01-07,1.1905,1.0068,3.9208,,,2.5502,312.5,6.7227,1.1925,4.8479,
1972-01-10,1.1905,1.0093,3.9198,,,2.5498,312.99,6.7261,1.1925,4.8298,
1972-01-11,1.191,1.0085,3.9216,,,2.549,314.47,6.7238,1.193,4.8353,
1972-01-12,1.19,1.0076,3.9164,,,2.5504,313.48,6.7249,1.19,4.8309,
1972-01-13,1.1915,1.0071,3.9002,,,2.5541,313.97,6.7227,1.195,4.8286,
1972-01-14,1.193,1.0061,3.8835,,,2.572,312.99,6.7227,1.198,4.8216,
1972-01-17,1.192,1.0045,3.8655,,,2.585,313.38,6.6934,1.196,4.8135,
1972-01-18,1.192,1.0065,3.8775,,,2.58,312.89,6.7002,1.196,4.8144,
1972-01-19,1.192,1.0061,3.8728,,,2.5801,312.79,6.689,1.195,4.8077,
1972-01-20,1.188,1.0065,3.8775,,,2.5815,312.01,6.6934,1.19,4.8077,
1972-01-21,1.191,1.0063,3.8778,,,2.5824,312.3,6.6934,1.192,4.8077,
1972-01-24,1.1915,1.0056,3.8728,,,2.5873,312.21,6.6878,1.193,4.806,
1972-01-25,1.1915,1.0046,3.8655,,,2.5903,311.82,6.689,1.195,4.8065,
1972-01-26,1.191,1.0046,3.8685,,,2.5894,311.53,6.689,1.194,4.8077,
1972-01-27,1.191,1.0045,3.8707,,,2.5903,310.08,6.6934,1.193,4.8088,
1972-01-28,1.191,1.0046,3.873,,,2.5914,310.46,6.6934,1.195,4.8077,
1972-01-31,1.191,1.0056,3.8745,,,2.5937,310.56,6.6912,1.195,4.8054,
1972-02-01,1.191,1.0063,3.8677,,,2.5998,310.37,6.6979,1.195,4.8077,
1972-02-02,1.191,1.0058,3.8462,,,2.6067,308.55,6.6845,1.195,4.7985,
1972-02-03,1.191,1.0057,3.858,,,2.6046,309.12,6.6811,1.195,4.7973,
1972-02-04,1.191,1.0058,3.8745,,,2.6,308.64,6.6979,1.195,4.8054,
1972-02-07,1.191,1.006,3.873,,,2.6029,308.17,6.68,1.195,4.8019,
1972-02-08,1.191,1.0065,3.8692,,,2.6037,307.69,6.6711,1.194,4.7973,
1972-02-09,1.191,1.0058,3.861,,,2.605,304.79,6.66,1.195,4.7962,
1972-02-10,1.191,1.0057,3.861,,,2.6059,304.69,6.6556,1.1925,4.7939,
1972-02-11,1.191,1.0057,3.858,,,2.6055,304.69,6.6556,1.1925,4.7962,
1972-02-14,1.191,1.0057,3.861,,,2.5952,304.23,6.6622,1.1925,4.8031,
1972-02-15,1.191,1.005,3.864,,,2.5937,304.14,6.6622,1.1925,4.8031,
1972-02-16,1.191,1.0047,3.8447,,,2.6045,303.95,6.6511,1.1925,4.7985,
1972-02-17,1.191,1.0045,3.8484,,,2.605,303.95,6.6225,1.194,4.7778,
1972-02-18,1.191,1.004,3.8491,,,2.6055,303.49,6.6247,1.1925,4.7755,
1972-02-21,,,,,,,,,,,
1972-02-22,1.191,1.0034,3.8595,,,2.605,302.85,6.6357,1.195,4.7847,
1972-02-23,1.191,1.0047,3.8565,,,2.6062,302.48,6.6291,1.1925,4.7847,
1972-02-24,1.191,1.0025,3.8565,,,2.607,302.11,6.6225,1.195,4.7881,
1972-02-25,1.191,1.0025,3.8692,,,2.6054,302.48,6.628,1.1925,4.7927,
